"Girokonto";"DE02120300000000202051"

"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"01.01.25";"01.01.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00010";"Ausgang";"DE02120300000000202051";"-72,51";"";"";""
"01.01.25";"01.01.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 01/2025 REF00002";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"03.01.25";"03.01.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 01/2025 REF00003";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"03.01.25";"03.01.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00014";"Ausgang";"DE02120300000000202051";"-27,02";"";"";""
"03.01.25";"03.01.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00023";"Ausgang";"DE02120300000000202051";"-81,77";"";"";""
"07.01.25";"07.01.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 01/2025 REF00005";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.01.25";"08.01.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00026";"Ausgang";"DE02120300000000202051";"-100,00";"";"";""
"08.01.25";"08.01.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00011";"Ausgang";"DE02120300000000202051";"-20,14";"";"";""
"08.01.25";"08.01.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00016";"Ausgang";"DE02120300000000202051";"-47,08";"";"";""
"11.01.25";"11.01.25";"Gebucht";"Max Mustermann";"Pizzeria Bella Italia";"BESTELLUNG DANKE REF00018";"Ausgang";"DE02120300000000202051";"-23,17";"";"";""
