"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE02120300000000202051";"01.01.25";"01.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00010";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-72,51";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.01.25";"01.01.25";"FOLGELASTSCHRIFT";"MIETE BERGSTRASSE 3 01/2025 REF00002";"";"";"";"";"";"";"Wohnbau Hanau GmbH";"DE02120300000000202051";"HELADEF1HAN";"-980,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.01.25";"03.01.25";"FOLGELASTSCHRIFT";"ABSCHLAG STROM GAS 01/2025 REF00003";"";"";"";"";"";"";"Stadtwerke Hanau";"DE02120300000000202051";"HELADEF1HAN";"-128,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.01.25";"03.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00014";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-27,02";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.01.25";"03.01.25";"FOLGELASTSCHRIFT";"ONLINE EINKAUF REF00023";"";"";"";"";"";"";"MediaMarkt";"DE02120300000000202051";"HELADEF1HAN";"-81,77";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.01.25";"07.01.25";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM 01/2025 REF00005";"";"";"";"";"";"";"Spotify AB";"DE02120300000000202051";"HELADEF1HAN";"-10,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.01.25";"08.01.25";"FOLGELASTSCHRIFT";"BARGELDAUSZAHLUNG REF00026";"";"";"";"";"";"";"Geldautomat Sparkasse";"DE02120300000000202051";"HELADEF1HAN";"-100,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.01.25";"08.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00011";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-20,14";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.01.25";"08.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00016";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-47,08";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"11.01.25";"11.01.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00018";"";"";"";"";"";"";"Pizzeria Bella Italia";"DE02120300000000202051";"HELADEF1HAN";"-23,17";"EUR";"Umsatz gebucht"
